role_code,role_name,area,scope_base,module_key,module_name,view,create,edit,delete,approve,export,manage_users,configure_module,reports
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,compras,Compras,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,contratos,Contratos,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,integracoes,Integracoes,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,paineis,Paineis / BI,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,conversor,Conversor de Documentos,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,rh,RH,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,ponto,Ponto,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,folha,Folha,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,patrimonio,Patrimonio,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,almoxarifado,Almoxarifado,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,frota,Frota,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,ouvidoria,Ouvidoria,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,tributos,Tributos,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,billing,Billing / Contrato SaaS,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,portal,Portal da Prefeitura,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
PROFESSOR,Professor,Educacao,PROFESSOR,org,Administracao / ORG,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,educacao,Educacao,SIM,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,avaliacoes,Avaliacoes,SIM,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,nee,NEE,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,saude,Saude,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,processos,Processos / Protocolo,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,financeiro,Financeiro,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,compras,Compras,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,contratos,Contratos,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,integracoes,Integracoes,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,paineis,Paineis / BI,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,conversor,Conversor de Documentos,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,rh,RH,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,ponto,Ponto,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,folha,Folha,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,patrimonio,Patrimonio,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,almoxarifado,Almoxarifado,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,frota,Frota,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,ouvidoria,Ouvidoria,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,tributos,Tributos,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,billing,Billing / Contrato SaaS,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
PROFESSOR,Professor,Educacao,PROFESSOR,portal,Portal da Prefeitura,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,org,Administracao / ORG,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,educacao,Educacao,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,avaliacoes,Avaliacoes,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,nee,NEE,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,saude,Saude,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
ALUNO,Aluno,Educacao,ALUNO,processos,Processos / Protocolo,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO
